Private timer initialized. TIMER_FREQ_HZ = 325000000 Hz
TRNG end-to-end test (TRNG -> PS -> UART)
GPIO mapping:
  axi_gpio_0 -> data_out[31:0] (input)
  axi_gpio_1 -> start (input)
  axi_gpio_2 -> button (output)
Waiting for start signal from PL (axi_gpio_1 bit 0)...

=== START detected, capturing 350 samples ===
001: A4103CDD
002: B3D78B1B
003: EFFB4E7E
004: B4292374
005: E49BB81D
006: D28E6E46
007: 6520AF4F
008: 4F95C6A0
009: F6DE9AF3
010: B09F6FB3
011: 3F3D3C0B
012: 0D2D2465
013: 7B58CF2A
014: 96275842
015: D737533B
016: 692CFB14
017: 0E757016
018: 56D82AE0
019: 85B3DAC8
020: FF92D789
021: 96BF378D
022: 279C81A9
023: 6D3BAA80
024: 7352C7A9
025: 0DEE34CF
026: DBB4BDA3
027: FCEAED82
028: 490B2AB8
029: 93E1FFF7
030: 6571AE5E
031: A04329AD
032: 41A5F994
033: 9B37A3F4
034: 126981C7
035: 67CBD8DE
036: 86E53CB8
037: C98EDFB1
038: 95A00616
039: 85D340A5
040: E897EAA4
041: 8E828937
042: 4AF4D9FB
043: 8441E3A8
044: ACC49D1D
045: 38C9AB0A
046: 75FD2F5A
047: B42AB5E1
048: A841C49B
049: BFC6ECD5
050: 343BD38E
051: 2EBDE11D
052: CB821B48
053: D4ADDF0A
054: A6B2FC85
055: 27CB780F
056: 26AFE415
057: 383C9252
058: C9AF03AD
059: B3D4B8D8
060: 208A062E
061: 07CB2521
062: C0E89726
063: 6129702E
064: 7E8FE402
065: 4B5FFDA5
066: 58C29404
067: E763E391
068: 52B21960
069: F101E871
070: 83346772
071: D56AA7C2
072: 8B225017
073: 4F24C648
074: BB46DFF3
075: 2227B8E2
076: 083D9B58
077: 2F58DC74
078: 4A261130
079: 4D4F97BA
080: EF5A1FF7
081: 20E16AB2
082: 2A447AA4
083: 84B432A9
084: E2705415
085: A86F74D1
086: 70AB8772
087: 89E5728C
088: 1F0DE2DD
089: FE08A697
090: F4532FAE
091: 758733EA
092: 32277C0C
093: 9D4835BC
094: 01AB87C8
095: 2BCB1EA2
096: 2280AB18
097: 1E1EA811
098: 681BD316
099: 3C1002F2
100: D91B9368
101: EF50EB93
102: D4B75E6E
103: 2F13CF73
104: 1EE94736
105: E1C677F4
106: F948CE83
107: 319C4ACB
108: 5F31AD07
109: 40AC501E
110: 354EAC12
111: 1153386D
112: 5BF5AACE
113: AC72CD43
114: F4855091
115: 4386EEC0
116: 231143C0
117: A7C7993E
118: 082C5561
119: 755277E1
120: 2385587B
121: 169BCD02
122: 18529AD3
123: 0DD1F843
124: DA869E8C
125: EE52D800
126: 304456D1
127: 2B4A340D
128: 9C93771F
129: 333FDDB0
130: B38D7909
131: 5E1603DA
132: 163AB0BA
133: BAFC43B8
134: B54029F0
135: 3D816850
136: 953D2F1C
137: A0120A82
138: 6C088B95
139: 40A3BC3F
140: C7DA3E17
141: 50C47215
142: BA4E3495
143: 692AC6F0
144: 7D7BE36B
145: CA02ECDE
146: 069280FA
147: 465FF6A7
148: F139C2D5
149: 9C7D320A
150: F3F5C000
151: 18C9E009
152: 08842220
153: D4872711
154: 6D3AE2BC
155: 9BFECC06
156: D854BBF9
157: D55F670C
158: AA9556FB
159: BB129010
160: 1076F016
161: B6876997
162: 4116AF33
163: 688B8A5D
164: B8E9076A
165: 39F63825
166: C76CCDB9
167: E6C92DF5
168: C7E468AA
169: 83EDDBBC
170: AB485156
171: ED8FEB55
172: 706072CE
173: 6864653B
174: E4B16E65
175: 2075DC04
176: 82117620
177: 54136F5A
178: EE55E591
179: 81958778
180: 82A74C4B
181: 7A375C02
182: 3309CD2B
183: A6557380
184: 6A9191C9
185: 3FF61A7D
186: 71057D61
187: 78346188
188: EF16C99B
189: C9B0F814
190: 21953629
191: 4B6613E7
192: 95CBAAEB
193: 381DEED3
